Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Industry,Revenue
Scientist - Molecular Biology,$75K-$131K,5.0,Arsenal Biosciences,"South San Francisco, CA",51 - 200 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Scientist,$75K-$131K,4.2,Eversight,"Palo Alto, CA",51 - 200 ,Company - Private,Enterprise Software & Network Solutions,$10 to $25 million 
"Computational Scientist, Machine Learning",$75K-$131K,4.1,Pfizer,"Cambridge, MA",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10+ billion 
Senior Data Scientist,$75K-$131K,4.8,Klaviyo,"Boston, MA",201 - 500 ,Company - Private,Computer Hardware & Software,Unknown 
Data Scientist,$75K-$131K,3.3,Intellectual Ventures,"Bellevue, WA",501 - 1000 ,Company - Private,Investment Banking & Asset Management,Unknown 
Data Scientist,$75K-$131K,3.7,GovTech,"San Francisco, CA",1001 - 5000 ,Government,Federal Agencies,Unknown 
Data Scientist,$75K-$131K,4.3,Quick Base,"Cambridge, MA",201 - 500 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Data Analyst,$75K-$131K,4.8,Giving Assistant,"San Francisco, CA",1 - 50 ,Company - Private,Advertising & Marketing,$10 to $25 million 
Data Scientist,$75K-$131K,3.7,Takeda,"Cambridge, MA",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10+ billion 
Data Scientist,$75K-$131K,4.0,Netskope,"San Francisco, CA",501 - 1000 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Jr. Data Engineer,$75K-$131K,4.8,IT Concepts,Remote,51 - 200 ,Company - Private,IT Services,$10 to $25 million 
E-Commerce Data Analyst,$75K-$131K,3.5,iSeatz,"New Orleans, LA",51 - 200 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Data Analytics Engineer,$75K-$131K,3.7,Summa Health System,"Akron, OH",5001 - 10000 ,Nonprofit Organization,Health Care Services & Hospitals,$100 to $500 million 
Senior Data Scientist,$75K-$131K,3.5,Benson Hill,"Saint Louis, MO",201 - 500 ,Company - Private,Biotech & Pharmaceuticals,$1 to $5 million 
Product Data Scientist - Ads Data Science,$75K-$131K,4.1,Twitter,"San Francisco, CA",1001 - 5000 ,Company - Public,Internet,$2 to $5 billion 
Data Scientist,$75K-$131K,3.2,Postmates - Corporate HQ,"San Francisco, CA",1001 - 5000 ,Company - Private,Express Delivery Services,Unknown 
Data Scientist - Intermediate,$75K-$131K,4.5,Envision LLC,"Saint Louis, MO",201 - 500 ,Company - Private,Staffing & Outsourcing,$25 to $50 million 
Data Analyst,$75K-$131K,3.8,Swiss Re,"Fort Wayne, IN",10000+ ,Company - Public,Insurance Agencies & Brokerages,$10+ billion 
